Title,Alternative Title,Creator,Contributor,Creation Date,Date,Search by Decade,Description,Subject (tgm),Subject Topical,Subject Name,Subject Geographic,Title Note,DCMI Type,Caption,Contributor Note,Notes,Original Form,Resource Type,Geographic Location,Language Code,Language,Physical Description of Original,Medium of Original,Collection in Repository,Digital Collection,N.C. Ed. Standard,URL,Local Identifier,Creator Identifier,filename,Copyright,Usage Rights,Raw Scan Filename,Date created,Date modified
Obstruction: Galveston Harbour main channel,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-12-14,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Sketches of an obstruction to the main channel of Galveston Harbor, including the plan, elevation, view, and section (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along bottom.,Maps,Still Image,"United States, Texas",eng,English,"15-5/8"" H x 22-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/190,Gilmer Map Number 141,276_190_E.tif,Public Domain,,276_190.tif,2005-12-08,2015-09-14
"Neuse, Dover, and Trent Rivers: the river roads",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the river roads of the Neuse, Dover, and Trent Rivers (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,Fabric is stained.,Maps,Still Image,"United States, North Carolina",eng,English,"24"" H x 35"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/234,Gilmer Map Number 309,276_234_E.tif,Public Domain,,,2005-12-08,2015-09-14
Coast of Texas and its defences,,"Gilmer, Jeremy Francis, 1818-1883.","Helferich, P.",1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the coast of Texas and its defences, drawn under the direction of Captain Tipton Walker, Chief of Topographical Bureau of Texas, New Mexico and Arizona, by P. Helferich, Assistant Engineer (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Helferich, P.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by P. Helferich.,,Maps,Still Image,"United States, Texas",eng,English,"26-3/8"" H x 49-1/4"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/188,Gilmer Map Number 91,276_188_E.tif,Public Domain,,276_188.tif,2005-12-08,2015-09-14
Casemate covered with railroad iron erected at Fort Caswell,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.;",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Drawings of a casemate covered with railroad iron, erected at Fort Caswell by order of Brigadeer General W. H. C. Whiting, under the direction of Major B. W. Frobel (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"20"" H x 30"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/248,Gilmer Map Number 323,276_248_E.tif,Public Domain,,276_248.tif,2005-12-08,2015-09-14
Topographical map of the vicinity of Grand Rapids Red River,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-12-24,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A topographical map of the vicinity of the Grand Rapids Red River, surveyed by Alphonse Buhlaw (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Louisiana",eng,English,"17-3/8"" H  x 22-5/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/187,Gilmer Map Number 90,276_187_E.tiff,Public Domain,,276_187.tif,2005-12-08,2015-09-14
Fort DeRussy and vicinity,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Fort DeRussy and vicinity, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is discolored.,Maps,Still Image,"United States, Louisiana",eng,English,"16-5/8"" H x 20-3/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/202,Gilmer Map Number 192,276_202_E.tif,Public Domain,,276_202.tif,2005-12-08,2015-09-14
"Defences at Rainbow Bank, Roanoke River, N.C.",,"Gilmer, Jeremy Francis, 1818-1883.",,1863-03-12,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the defences at Rainbow Bank, Roanoke River, N.C. (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"13-1/2"" H x 17-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/223,Gilmer Map Number 301,276_223_E.tif,Public Domain,,276_223.tif,2005-12-08,2015-09-14
Map showing the entrenchments around Wilmington,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the entrenchments around Wilmington, surveyed and mapped under the direction of Captain W. H. James by L. C. Turner (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was surveyed and mapped by L. C. Turner.,Paper is torn along center folds.,Maps,Still Image,"United States, North Carolina",eng,English,"25-7/8"" H x 37-3/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/242,Gilmer Map Number 317,276_242_E.tif,Public Domain,,276_242.tif,2005-12-08,2015-09-14
Eastern portion of Galveston Island and its defences,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of the eastern portion of Galveston Island and its defences (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Texas--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Fabric is discolored and stained.,Maps,Still Image,"United States, Texas",eng,English,"29-5/8"" H x 47-7/8"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/189,Gilmer Map Number 97,276_189_E.tif,Public Domain,,276_189.tif,2005-12-08,2015-09-14
Map of country between N. E. Cape Fear River and Topsail Sound,Defences of Wilmington,"Gilmer, Jeremy Francis, 1818-1883.","Blackford, B. L. (Benjamin Lewis)",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the area between the northeast Cape Fear River and Topsail Sound, made under the direction of W. H. James, Chief Engineer, by B. L. Blackford (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Blackford, B. L. (Benjamin Lewis); Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by B. L. Blackford.,Top edge is torn and information is missing.,Maps,Still Image,"United States, North Carolina",eng,English,"24"" H x 29-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/243,Gilmer Map Number 318,276_243_E.tif,Public Domain,,276_243.tif,2005-12-08,2015-09-14
Map of the reconnaissance of the South Carolina mountain passes in connection with those of western North Carolina and east Tennessee,,"Gilmer, Jeremy Francis, 1818-1883.","Niernsee, John R.; McRae, John.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the reconnaissance of the South Carolina mountain passes in connection with those of western North Carolina and east Tennessee, by John R. Niernsee and John McRae of the Special Military Commission (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; McRae, John.; Niernsee, John R.;","Confederate States of America--Maps.; South Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was made by John R. Niernsee and John McRae.,,Maps,Still Image,"United States, North Carolina; United States, South Carolina; United States, Tennessee",eng,English,"21"" H x 24-3/4"" W; scale on map.",Cloth,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/254,Gilmer Map Number 329,276_254_E.tif,Public Domain,,276_254.tif,2005-12-08,2015-09-14
"Vicinity of Fulton, Ark's",,"Gilmer, Jeremy Francis, 1818-1883.",,1864-05-20,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the vicinity of Fulton, Arkansas, drawn under the direction of Captain R. M. Venable (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along folds and edges.,Maps,Still Image,"United States, Arkansas",eng,English,"26-3/8"" H x 32-7/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/196,Gilmer Map Number 180,276_196_E.tif,Public Domain,,,2005-12-08,2015-09-14
Jenkins Ferry,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-04-30,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of Jenkin's Ferry, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is discolored.,Maps,Still Image,"United States, Arkansas",eng,English,"10-5/8"" H x 12-1/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/206,Gilmer Map Number 199,276_206_E.tif,Public Domain,,276_206.tif,2005-12-08,2015-09-14
"Plan of the three gun battery at Fulton, Arkansas",,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A plan of the three gun battery at Fulton, Arkansas, drawn under the direction of Captain R. M. Venable (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is discolored and slightly torn around edges.,Maps,Still Image,"United States, Arkansas",eng,English,"17-5/8"" H x 21-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/198,Gilmer Map Number 181B,276_198_E.tif,Public Domain,,276_198.tif,2005-12-08,2015-09-14
"Sketch of Red River obstruction at Shreveport defences, La.",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A sketch of the Red River obstruction at Shreveport defences, Louisiana (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; Louisiana--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, Louisiana",eng,English,"12-7/8"" H x 15-3/4"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/204,Gilmer Map Number 198A,276_204_E.tif,Public Domain,,276_204.tif,2005-12-08,2015-09-14
Field map sheet no. 3,,"Gilmer, Jeremy Francis, 1818-1883.","Miller, H. J.",1863-07-28,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Field map sheet number 3, showing Wilson north to Rocky Mount east to Tarboro south to the Tar River (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Miller, H. J.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,H. J. Miller was the draughtsman of this map.,Paper is torn along center folds.,Maps,Still Image,"United States, North Carolina",eng,English,"34-3/4"" H x 50-3/8"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/227,Gilmer Map Number 305,276_227_E.tif,Public Domain,,276_227.tif,2005-12-08,2015-09-14
"Plan of fortification around Garysburg, N.C., two miles from Weldon",,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of the fortification around Garysburg, N.C., two miles from Weldon (hand-drawn).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"15-1/4"" H x 22-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/225,Gilmer Map Number 303,276_225_E.tif,Public Domain,,276_225.tif,2005-12-08,2015-09-14
Camden and defences,,"Gilmer, Jeremy Francis, 1818-1883.",,1864-05-19,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Camden and defences drawn under the direction of Captain R. M. Venable (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Arkansas--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,Paper is torn along center fold.,Maps,Still Image,"United States, Arkansas",eng,English,"17-5/8"" H x 21-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/199,Gilmer Map Number 184,276_199_E.tif,Public Domain,,276_199.tif,2005-12-08,2015-09-14
Reconnaissance of the country between Newbern and Goldsboro between the Trent and the Neuse Rivers,,"Gilmer, Jeremy Francis, 1818-1883.",,1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of a reconnaissance of the area between New Bern and Goldsboro between the Trent and the Neuse rivers (hand-drawn and colored).,Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"17-7/8"" H x 23-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/235,Gilmer Map Number 310,276_235_E.tif,Public Domain,,276_235.tif,2005-12-08,2015-09-14
Part 2: topographical map showing the fortifications and roads in the vicinity of the Cape Fear,,"Gilmer, Jeremy Francis, 1818-1883.","Turner, L. C.",1863,1863,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"Part 2 of a two-part topographical map of the fortifications and roads in the vicinity of the Cape Fear River, prepared under the direction of Captain W. H. James by L. C. Turner (hand-drawn and colored).",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.; Turner, L. C.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,Map was prepared by L. C. Turner.,,Maps,Still Image,"United States, North Carolina",eng,English,"21-7/8"" H x 27-1/4"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/237B,Gilmer Map Number 312,276_237b_E.tif,Public Domain,,,2005-12-08,2015-09-14
Redoubt I,,"Gilmer, Jeremy Francis, 1818-1883.","Fitz, Newton.",1861; 1862; 1863; 1864; 1865,undated,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,A map of Redoubt I drawn under the direction of Lieutenant Colonel V. Sheliha by Newton Fitz (hand-drawn).,Maps,"United States--History--Civil War, 1861-1865.;","Fitz, Newton.; Gilmer, Jeremy Francis, 1818-1883.;","Alabama--History--Maps.; Confederate States of America--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title on map.,Image,,Map was drawn by Newton Fitz.,Right side and bottom of map are torn and information is missing.,Maps,Still Image,"United States, Alabama",eng,English,"22-1/2"" H x 23-7/8"" W",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/185,Gilmer Map Number 10,276_185_E.tif,Public Domain,,276_185.tif,2005-12-08,2015-09-14
Copy 2: map of a part of eastern North Carolina from a map in progress compiled from surveys and reconnaissances,,"Gilmer, Jeremy Francis, 1818-1883.",,1864,1864,1860; 1861; 1862; 1863; 1864; 1865; 1866; 1867; 1868; 1869,"A map of a part of eastern North Carolina made from a map in progress, compiled from surveys and reconnaissances, made under the direction of Captain A. H. Campbell.",Maps,"United States--History--Civil War, 1861-1865.;","Gilmer, Jeremy Francis, 1818-1883.;","Confederate States of America--Maps.; North Carolina--History--Maps.; United States--History--Civil War, 1861-1865--Maps.;",Title supplied by repository.,Image,,,,Maps,Still Image,"United States, North Carolina",eng,English,"30-3/4"" H x 37"" W; scale on map.",Paper,Jeremy Francis Gilmer Papers,Gilmer Maps,,,276/253B,Gilmer Map Number 328B,276_253b_E.tif,Public Domain,,276_253b.tif,2005-12-08,2015-09-14
