Title	Description	Transcription	Contributor Note	Notes	Subject (tgm)	Subject Name	Subject Geographic	Subject Topical	Creator	Finding Aid	Collection in Repository	Collection Number	Location in Collection	Object	Container type	filename	Alternative Title	Contributor	Creation Date	Date	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Usage Rights	Copyright Holder	Additional Display	Caption	Title Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	Date created	Date modified
Valenki for the protesters	A Yushchenko supporter is carrying several pairs of "valenki" (felt boots) to load them onto a handtruck. He has an orange ribbon tied around his arm and a cell phone strapped to his belt. Behind him is a man with an orange bandana around his neck and a security badge. More "valenki" are being collected behind them. They are inside a building that has been converted into a support center for the protesters. "Valenki" were distributed to the protesters for warmth and became a symbol after Lyudmila Yanukovych, Viktor Yanukovych's wife, claimed that they were supplied by the United States.				Boots; Ribbons; Scarves; Activists; Guards; Protest movements;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 014	digfolder	60001_df0001_014.tif			2004	28 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06027.JPG					2014-07-31	2015-06-26
Orthodox procession in support of Yanukovych	An Orthodox Church procession of Yanukovych supporters is climing a snowy Kyiv footpath. A man carrying the lantern is in the front, followed by a man carrying the cross, a priest, and others carrying crosses, icons, and banners with images of Jesus and different saints as well as blue and white banners in support of Yanukovych. There are blue and white Yanukovych ribbons tied to the crosses and the lantern. A pedestrian with a cane is walking in the opposite direction past the marchers.		Bujak's comment: Moscow Patriarchate Orthodox Church procession, supporters of Yanukovych.		Religious processions; Religious articles; Crosses; Banners; Political parades & rallies; Lanterns; Icons; Marching; Trails & paths; Streets; Pedestrians;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 209	digfolder	60001_df0001_209.tif			2004	11 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00006.bmp					2014-07-31	2015-06-15
Mass Advertisement	Flags, signs, and large Yushchenko posters are hung over the roof of a building that faces Maidan. The hotel "Ukraine" is visible in the background.				Posters; Signs (Notices); Flags;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 169	digfolder	60001_df0001_169.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (4).tif					2014-07-31	2015-03-27
A call home	Protestors are using local phone booths to call home in order to inform their loved ones that everything is okay.				Telephone booths; Crowds;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 095	digfolder	60001_df0001_095.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06395.JPG					2014-07-31	2015-03-27
Young man holding up a flag	A young man is holding up a Yushchenko flag that also has a sign attached to it. The sign reads "Kharkov Yes!" implying that the city of Kharkov is rooting for the Yushchenko party.	Sign reads: Харьков ДА!			Night photographs; Flags; Signs (Notices); Crowds;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 177	digfolder	60001_df0001_177.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00001 (2).tif					2014-07-31	2015-03-27
Tent City signs	A sign at tent city stating that the city of Chervonograd is pro-Yushchenko.	Sign reads: Шахтарі за Червоноград. Ющенка так!			Signs (Notices); Night photographs; Tents;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 052	digfolder	60001_df0001_052.tif			2004	2 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														Dsc06280.jpg					2014-07-31	2015-03-27
The Orange Revolution in action	A regular night at Maĭdan Nezalez︠h︡nosti. Protestors are out waving flags, protesting, while speakers are talking or other presentations are taking place.				Flags; Ribbons; Crowds; Night photographs; Columns; Facades;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 175	digfolder	60001_df0001_175.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00028 (4).tif					2014-07-31	2015-03-27
Tent City in the Orange Revolution	Protesters from Zhytomyr region standing in front of a book store and a tent city holding up their signs in support of Yushchenko's party.	Sign reads: "Житомирська обл".			Activists; Revolutionaries; Women; Crowds; Ribbons; Older people; Tents; Hats; Coats; Signs (Notices);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0005: Central Independence Square events: Living Conditions, November-December 2004: Digital image 43	digfolder	60001_df0005_043.tif			2004	30 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06251.JPG					2014-07-31	2015-03-27
Valenok Caricature	A Ukrainian felt boot or valenok is hung upside down on a pole in front of a group of protestors. The American flag and the letters USA are drawn on the boot along with a star. Around the boot is an orange ribbon and on top of the boot is an orange with a syringe going through it.		Valenki: ridiculing the propaganda that the revolution was financed by U.S. (valenki are produced only in Russia).		Boots; Ribbons; Oranges; Flags;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 107	digfolder	60001_df0007_107.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00013.tif					2014-07-31	2015-11-20
Sticker "war" between Yushchenko and Yanukovych supporters	A blue and white Yanukovych banner is strapped with blue ribbons to the fence outside of the Central Terminal of the Kyiv Passenger Railway Station. Yushchenko supporters have covered the banner with orange pro-Yushchenko stickers. Several Yushchenko supporters in orange plastic ponchos are visible in the background.	The blue and white Yanukovych banner reads: "За Януковича! Вибiр 2004" (For Yanukovych! The choice for 2004.) The stickers read: “Свободу не спинити” (Freedom cannot be stopped), "Так! Ющенко" (Yes! Yushchenko) and "Ющенко--президент!" (Yushchenko is the president.) In the corner of the banner, someone wrote: "Львiв за Ющенка" (L'viv is for Yushchenko.)			Banners; Stickers; Political parades & rallies; Activists; Protests; Crowds; Fences;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 009	digfolder	60001_df0001_009.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC05957.JPG					2014-07-31	2015-06-26
Lady Liberty	A little girl wearing a Yushchenko flag cape is holding on to a flagpole.				Flagpoles; Children; Capes (Clothing);		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 080	digfolder	60001_df0007_080.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00020 (2).tif					2014-07-31	2014-12-03
Happy protestors	Two women stand smiling in front of the Independence monument. One of them is wearing a bright orange Yushchenko scarf as well as holding a Ukrainian flag. Green tents are visible behind them. In the background protestors are standing with a variety of different signs on the roof of the building called "GLOBUS."				Women; Scarves; Headscarves; Flags; Signs (Notices); Facades;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 090	digfolder	60001_df0007_090.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00021 (2).tif					2014-07-31	2014-12-03
Maidan Entertainment	Protestors are gathered around a man playing an accordion. Famous Ukrainian ensembles came out to Maidan to play music and entertain protestors, making the overall Maidan atmosphere more lively and cheerful.	Sign reads: Народний Фольклорно-Етнографічний Ансамбль, Залужанка. Яворівський район: Львівської області			Night photographs; Crowds; Flags; Entertainers; Musicians; Accordions;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 101	digfolder	60001_df0001_101.tif			2004	4 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06414.JPG					2014-07-31	2015-03-27
Car decorations	Many protestors used cars to demonstrate their support for their chosen candidate. In this picture, Yushchneko posters are plastered all over the car along with orange ribbons and stickers. The posters and stickers read: "TAK! I believe. I know. We can." A Ukrainian and a orange Yushchenko flag wave side by side.  To the right there is also a group of protestors wearing orange ribbons.	Posters and stickers read: Вірю. Знаю. Можемо. ТАК!			Vehicles; Flags; Posters; Ribbons; Stickers;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0007: Central Independence Square events: Fashion, November-December 2004: Digital image 010	digfolder	60001_df0007_010.tif			2004	28 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														DSC06053.JPG					2014-07-31	2014-12-03
Protesters talking	Protesters talking to each other; an orange flag sticking out of the protester's  jacket. The sign on the flag reads: "Tak!"				Activists; Crowds; Flags; Men; Women; Older people; Coats; Hats; Headscarves;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 18	digfolder	60001_df0003_018.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/																												DSC05938.JPG					2014-07-31	2014-12-03
Young protesters	Young protesters wearing white headbands in kamikaze style to demonstrate their commitment to hunger strike; a lady talking into the microphone. Some of the protesters wear orange ribbons, scarf, T-shirt.		Bujak’s comment: "Bands around heads (kamikaze style) symbolize commitment to hunger strike."		Activists; Ribbons; Headbands (Headgear); Roses; Public speaking; Young adults; Men; Women;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine);		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0003: Central Independence Square events: Conversation and Debate, November-December 2004: Digital image 03	digfolder	60001_df0003_003.tif			2004	27 November 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/																												DSC05901.JPG					2014-07-31	2015-03-27
Happy protestors	Four protestors are posing for the camera at Maidan in front of the famous Independence monument. One of them is holding up a peace sign, a popular symbol of the revolution.				Crowds; Night photographs; Monuments; Peace signs;		Ukraine--History--Orange Revolution, 2004.; Kiev (Ukraine); Maĭdan Nezalez︠h︡nosti (Kiev, Ukraine)		Bujak, Zbigniew.	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	The Zbigniew Bujak Orange Revolution Photographs, November - December 2004	60001	Orange Revolution: Central Independence Square events, November-December 2004	Digital Folder 0001: Central Independence Square events: Protesters and Signs, November-December 2004: Digital image: 147	digfolder	60001_df0001_147.tif			2004	10 December 2004				Zbigniew Bujak Orange Revolution Photographs	For copyright information or permissions questions, see our intellectual property statement: https://library.unc.edu/wilson/research/perm/													Photograph	Image														00027 (2).tif					2014-07-31	2015-03-27
